"place_id","place_name","category","latitude","longitude","pet_policy"
"4011867","노스페이스 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4011868","스케쳐스 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4011870","스노우피크 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4011871","살로몬 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4011872","아틀리에드아페쎄 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4011873","휴고보스 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4011878","페라가모 신세계백화점 의정부점","","37.7379563","127.0458722","정보없음"
"4011882","아트박스 중계점","","37.6512103","127.0764712","정보없음"
"4011883","롯데하이마트 창동점","","37.6529212","127.0521201","정보없음"
"4011886","스톤헨지 신세계백화점 의정부점","","37.7379563","127.0458722","정보없음"
"4011887","롯데하이마트 쌍문점","","37.6533882","127.0370928","정보없음"
"4011889","골프프렌드 골때려골프 도봉창동점","","37.6593162","127.0416521","정보없음"
"4011892","삼성스토어 이천증포","","37.2882830","127.4545166","정보없음"
"4011894","스노우피크 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011895","MLB 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011897","비비안 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011898","MANITSUIT 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011899","스파이더 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011902","K2 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011905","어뉴골프 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011906","브룩스브라더스 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011907","닥스ACC 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011909","뉴에라 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011910","아레나 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011913","아디다스골프 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011914","캉골키즈 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011915","데상트골프 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011918","기비키이스 롯데프리미엄아울렛 이천점","","37.2422269","127.4000261","정보없음"
"4011923","쉬즈미스 롯데프리미엄아울렛 파주점","","37.7180926","126.6925491","정보없음"
